locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_055240	SNOO_055240A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_075870	SNOO_075870A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_068010	SNOO_068010A_1	0.4038461538461523	0.4615384615384615	0.4038461538461523
SNOO_054020	SNOO_054020A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_420570	SNOO_420570A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_012860	SNOO_012860A_1	0.4038461538461523	0.3296703296703253	0.3296703296703253
SNOO_053790	SNOO_053790A_1	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_053790	SNOO_053790A_2	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_127810	SNOO_127810A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_569310	SNOO_569310_1	0.1284965034965036	0.4079254079254055	0.1284965034965036
SNOO_569310	SNOO_569310_2	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_405010	SNOO_405010A_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_143390	SNOO_143390A_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_071510	SNOO_071510A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_026780	SNOO_026780A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_081900	SNOO_081900A_1	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_418490	SNOO_418490A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_041690	SNOO_041690A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_060230	SNOO_060230A_1	0.4038461538461552	0.3296703296703253	0.3296703296703253
SNOO_575620	SNOO_575620_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_061220	SNOO_061220A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_061220	SNOO_061220A_2	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_126330	SNOO_126330A_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_126330	SNOO_126330A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_043570	SNOO_043570A_3	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_005370	SNOO_005370A_1	0.3671328671328668	0.4195804195804207	0.3671328671328668
SNOO_116910	SNOO_116910A_1	0.4079254079254084	0.1118881118881117	0.1118881118881117
SNOO_116910	SNOO_116910A_2	0.4079254079254084	0.1118881118881117	0.1118881118881117
SNOO_440820	SNOO_440820A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_504240	SNOO_504240_1	0.4038461538461552	0.4615384615384615	0.4038461538461552
SNOO_048440	SNOO_048440A_1	0.4038461538461523	0.3296703296703253	0.3296703296703253
SNOO_022780	SNOO_022780A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_108080	SNOO_108080A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_027250	SNOO_027250A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_027250	SNOO_027250A_2	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_429470	SNOO_429470A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_408710	SNOO_408710A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_060320	SNOO_060320A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_006470	SNOO_006470A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
